routeNameE,routeId,first_stopNameE,first_coordinates,last_stopNameE,last_coordinates,fullFare,journeyTime,first_stopDistrict,last_stopDistrict,routeDistance
69,2000410,Cyberport Public Transport Interchange,"(22.261913, 114.13015)",Cyberport Public Transport Interchange,"(22.261913, 114.13015)",14.5,74,Southern District,Southern District,30095
69x,2000511,Cyberport Public Transport Interchange,"(22.261913, 114.13015)","Lockhart Road, near Cannon Street","(22.280704, 114.183492)",12.5,28,Southern District,Wan Chai,15504
69a,2000819,Cyberport Public Transport Interchange,"(22.261913, 114.13015)",Cyberport Bus Terminus,"(22.261913, 114.13015)",8.5,15,Southern District,Southern District,11192
69x,2000961,Cyberport Public Transport Interchange,"(22.261913, 114.13015)","Lockhart Road, near Cannon Street","(22.280704, 114.183492)",12.5,19,Southern District,Wan Chai,19859
84,2000964,Allway Gardens,"(22.377297, 114.103982)",Tsuen Wan Chung On Street,"(22.369066, 114.116433)",4.4,10,Tsuen Wan,Tsuen Wan,5261
21a,2000967,"Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)","Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)",4.2,8,Wan Chai,Wan Chai,3199
21m,2000968,"Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)","Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)",4.8,16,Wan Chai,Wan Chai,5664
14m,2000970,"Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)","Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)",5.7,15,Wan Chai,Wan Chai,5235
14m,2000971,"Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)","Near Lee Garden One, Lan Fong Road","(22.278636, 114.184394)",5.7,14,Wan Chai,Wan Chai,4656
14m,2000972,Causeway Bay Lee Garden Road ,"(22.278473, 114.184026)",Causeway Bay Lee Garden Road ,"(22.278473, 114.184026)",4.2,9,Wan Chai,Wan Chai,1222
14m,2000973,Causeway Bay Lee Garden Road ,"(22.278473, 114.184026)",Causeway Bay Lee Garden Road ,"(22.278473, 114.184026)",4.2,6,Wan Chai,Wan Chai,976
89b,2000974,"On Yan Street, near Hang Tai House","(22.326553, 114.229202)","Sheung Yee Road, near Zero Carbon Building","(22.320743, 114.207759)",8.8,21,Kwun Tong,Kwun Tong,15836
43m,2000976,Tai Kok Tsui (Cherry Street) GMB Terminus,"(22.317738, 114.162073)",Tai Kok Tsui (Cherry Street) GMB Terminus,"(22.317738, 114.162073)",4.5,18,Yau Tsim Mong,Yau Tsim Mong,4416
43m,2000977,Mong Kok (Park Avenue) Terminus,"(22.315282, 114.163354)",Tai Kok Tsui (Cherry Street) GMB Terminus,"(22.317738, 114.162073)",4.5,16,Yau Tsim Mong,Yau Tsim Mong,3265
