Start_District,End_District,Start_Lat,Start_Lon,End_Lat,End_Lon,Distance_km,Taxi_Type,Tunnels,Tunnel_Fee_HKD,Fare_HKD,Fare_Divided_By_3,Estimated_Time_Minutes,Start_Coordinates,End_Coordinates,Start_Value_for_tableau_district,End_Value_for_tableau_district
Central and Western,Central and Western,22.285,114.158,22.285,114.158,0.0,urban,None,0,29.0,9.7,0,"(22.285, 114.158)","(22.285, 114.158)",8,8
Central and Western,Eastern,22.285,114.158,22.283,114.233,7.7,urban,None,0,114.4,38.1,12,"(22.285, 114.158)","(22.283, 114.233)",8,10
Central and Western,Islands,22.285,114.158,22.267,113.95,21.5,urban,None,0,259.5,86.5,33,"(22.285, 114.158)","(22.267, 113.95)",8,2
Central and Western,Kowloon City,22.285,114.158,22.323,114.188,5.2,urban,Western Harbour Crossing,50,142.2,47.4,14,"(22.285, 114.158)","(22.323, 114.188)",8,17
Central and Western,Kowloon City,22.285,114.158,22.323,114.188,5.2,urban,Cross-Harbour Tunnel,50,142.2,47.4,14,"(22.285, 114.158)","(22.323, 114.188)",8,17
Central and Western,Kwai Tsing,22.285,114.158,22.358,114.125,8.8,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,238.7,79.6,16,"(22.285, 114.158)","(22.358, 114.125)",8,5
Central and Western,Kwun Tong,22.285,114.158,22.31,114.225,7.4,urban,Western Harbour Crossing,50,167.6,55.9,15,"(22.285, 114.158)","(22.31, 114.225)",8,6
Central and Western,Kwun Tong,22.285,114.158,22.31,114.225,7.4,urban,Eastern Harbour Crossing,50,167.6,55.9,15,"(22.285, 114.158)","(22.31, 114.225)",8,6
Central and Western,Kwun Tong,22.285,114.158,22.31,114.225,7.4,urban,Cross-Harbour Tunnel,50,167.6,55.9,15,"(22.285, 114.158)","(22.31, 114.225)",8,6
Central and Western,North District,22.285,114.158,22.5,114.133,23.9,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,342.2,114.1,31,"(22.285, 114.158)","(22.5, 114.133)",8,0
Central and Western,North District,22.285,114.158,22.5,114.133,23.9,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,377.2,125.7,31,"(22.285, 114.158)","(22.5, 114.133)",8,0
Central and Western,Sai Kung,22.285,114.158,22.4,114.267,17.0,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,312.3,104.1,40,"(22.285, 114.158)","(22.4, 114.267)",8,5
Central and Western,Sai Kung,22.285,114.158,22.4,114.267,17.0,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,347.3,115.8,40,"(22.285, 114.158)","(22.4, 114.267)",8,5
Central and Western,Sham Shui Po,22.285,114.158,22.333,114.167,5.4,urban,Western Harbour Crossing,50,148.3,49.4,16,"(22.285, 114.158)","(22.333, 114.167)",8,8
Central and Western,Sham Shui Po,22.285,114.158,22.333,114.167,5.4,urban,Cross-Harbour Tunnel,50,148.3,49.4,16,"(22.285, 114.158)","(22.333, 114.167)",8,8
Central and Western,Sha Tin,22.285,114.158,22.383,114.2,11.7,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,231.2,77.1,19,"(22.285, 114.158)","(22.383, 114.2)",8,6
Central and Western,Sha Tin,22.285,114.158,22.383,114.2,11.7,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,266.2,88.7,19,"(22.285, 114.158)","(22.383, 114.2)",8,6
Central and Western,Sha Tin,22.285,114.158,22.383,114.2,11.7,urban,"Cross-Harbour Tunnel, Eagle's Nest Tunnel",58,219.2,73.1,19,"(22.285, 114.158)","(22.383, 114.2)",8,6
Central and Western,Southern District,22.285,114.158,22.242,114.15,4.8,urban,None,0,86.0,28.7,13,"(22.285, 114.158)","(22.242, 114.15)",8,4
Central and Western,Tai Po,22.285,114.158,22.45,114.167,18.3,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,298.5,99.5,29,"(22.285, 114.158)","(22.45, 114.167)",8,2
Central and Western,Tai Po,22.285,114.158,22.45,114.167,18.3,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,333.5,111.2,29,"(22.285, 114.158)","(22.45, 114.167)",8,2
Central and Western,Tsuen Wan,22.285,114.158,22.367,114.117,10.0,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,244.0,81.3,14,"(22.285, 114.158)","(22.367, 114.117)",8,4
Central and Western,Tuen Mun,22.285,114.158,22.4,113.975,22.7,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,362.5,120.8,28,"(22.285, 114.158)","(22.4, 113.975)",8,2
Central and Western,Wan Chai,22.285,114.158,22.278,114.178,2.2,urban,None,0,47.9,16.0,8,"(22.285, 114.158)","(22.278, 114.178)",8,7
Central and Western,Wong Tai Sin,22.285,114.158,22.342,114.183,6.8,urban,Western Harbour Crossing,50,165.3,55.1,17,"(22.285, 114.158)","(22.342, 114.183)",8,3
Central and Western,Wong Tai Sin,22.285,114.158,22.342,114.183,6.8,urban,Cross-Harbour Tunnel,50,165.3,55.1,17,"(22.285, 114.158)","(22.342, 114.183)",8,3
