SRC_STATION_NAME,SRC_STATION_ID,DEST_STATION_NAME,DEST_STATION_ID,OCT_ADT_FARE,OCT_STD_FARE,OCT_JOYYOU_SIXTY_FARE,SINGLE_ADT_FARE,OCT_CON_CHILD_FARE,OCT_CON_ELDERLY_FARE,OCT_CON_PWD_FARE,SINGLE_CON_CHILD_FARE,SINGLE_CON_ELDERLY_FARE,Starting Station Coord,Ending Station Coord,,Distance,Time Taken,Status of Script,Starting Station (District),Ending Station (District),Med_Income(Starting),Med_Income(Ending)
Central,1,Central,1,0,0,0,0,0,0,0,0,0,"22.2819, 114.1574","22.2819, 114.1574",,,,,Central and Western,Central and Western,41400,41400
Central,1,Admiralty,2,4.9,3.2,2,5,3.2,2,2,3.5,3.5,"22.2819, 114.1574","22.2794, 114.1646",,0.9 km,3 mins,done,Central and Western,Central and Western,41400,41400
Central,1,Tsim Sha Tsui,3,10.6,5.4,2,12.5,5.4,2,2,5.5,5.5,"22.2819, 114.1574","22.2973, 114.1722",,3.4 km,8 mins,done,Central and Western,Yau Tsim Mong,41400,30000
Central,1,Jordan,4,10.6,5.4,2,12.5,5.4,2,2,5.5,5.5,"22.2819, 114.1574","22.3048, 114.1717",,4.2 km,8 mins,done,Central and Western,Yau Tsim Mong,41400,30000
Central,1,Yau Ma Tei,5,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.3137, 114.1698",,5.2 km,13 mins,done,Central and Western,Yau Tsim Mong,41400,30000
Central,1,Mong Kok,6,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.3191, 114.1694",,5.8 km,12 mins,done,Central and Western,Yau Tsim Mong,41400,30000
Central,1,Shek Kip Mei,7,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.3317, 114.1685",,7.2 km,22 mins,done,Central and Western,Kowloon City,41400,30000
Central,1,Kowloon Tong,8,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.337, 114.1762",,9.5 km,24 mins,done,Central and Western,Wong Tai Sin,41400,25500
Central,1,Lok Fu,9,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.338, 114.1871",,9.5 km,26 mins,done,Central and Western,Wong Tai Sin,41400,25500
Central,1,Wong Tai Sin,10,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3417, 114.1938",,10.4 km,28 mins,done,Central and Western,Wong Tai Sin,41400,25500
Central,1,Diamond Hill,11,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.34, 114.2071",,11.9 km,39 mins,done,Central and Western,Wong Tai Sin,41400,25500
Central,1,Choi Hung,12,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3349, 114.209",,12.2 km,32 mins,done,Central and Western,Wong Tai Sin,41400,25500
Central,1,Kowloon Bay,13,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3235, 114.2141",,13.6 km,35 mins,done,Central and Western,Kwun Tong,41400,22500
Central,1,Ngau Tau Kok,14,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3154, 114.2193",,14.9 km,39 mins,done,Central and Western,Kwun Tong,41400,22500
Central,1,Kwun Tong,15,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3117, 114.227",,15.7 km,40 mins,done,Central and Western,Kwun Tong,41400,22500
Central,1,Prince Edward,16,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.3245, 114.1683",,6.5 km,16 mins,done,Central and Western,Yau Tsim Mong,41400,30000
Central,1,Sham Shui Po,17,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.3308, 114.1623",,7.5 km,18 mins,done,Central and Western,Sham Shui Po,41400,24300
Central,1,Cheung Sha Wan,18,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5,"22.2819, 114.1574","22.3354, 114.1563",,8.3 km,19 mins,done,Central and Western,Sham Shui Po,41400,24300
Central,1,Lai Chi Kok,19,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3373, 114.148",,9.1 km,19 mins,done,Central and Western,Sham Shui Po,41400,24300
Central,1,Mei Foo,20,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3376, 114.138",,10.2 km,21 mins,done,Central and Western,Sham Shui Po,41400,24300
Central,1,Lai King,21,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3484, 114.1261",,12.2 km,24 mins,done,Central and Western,Kwai Tsing,41400,24700
Central,1,Kwai Fong,22,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3568, 114.1278",,13.2 km,26 mins,done,Central and Western,Kwai Tsing,41400,24700
Central,1,Kwai Hing,23,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3632, 114.1312",,14.0 km,27 mins,done,Central and Western,Kwai Tsing,41400,24700
Central,1,Tai Wo Hau,24,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3708, 114.125",,15.3 km,29 mins,done,Central and Western,Tsuen Wan,41400,32600
Central,1,Tsuen Wan,25,15.8,7.4,2,16,7.4,2,2,7.5,7.5,"22.2819, 114.1574","22.3736, 114.1178",,16.2 km,31 mins,done,Central and Western,Tsuen Wan,41400,32600
Central,1,Sheung Wan,26,4.9,3.2,2,5,3.2,2,2,3.5,3.5,"22.2819, 114.1574","22.2866, 114.1519",,0.9 km,3 mins,done,Central and Western,Central and Western,41400,41400
Central,1,Wan Chai,27,4.9,3.2,2,5,3.2,2,2,3.5,3.5,"22.2819, 114.1574","22.2775, 114.1732",,1.9 km,7 mins,done,Central and Western,Wan Chai,41400,44100
